Change Id,Date & Time,System,Originator,Responsible,CR Reference,I2 Reference,Topic,Status,Baseline System,Baseline Subsystem,Baseline Number,Item System,Item Subsystem,Path,File Name
SC_058690,2011-05-30T11:43:51,ESC,ABC,undef,undef,I2_082162,undef,CLOSED,ENV,ENV_CONFIG,15.5.126,ESC,BUSINESS,sources/BOther/source,DctLimitValidator.cpp
SC_058690,2011-05-30T11:43:51,ESC,ABC,undef,undef,I2_082162,undef,CLOSED,ENV,ENV_CONFIG,15.5.128,ESC,BUSINESS,sources/BOther/source,DctLimitValidator.cpp
SC_061035,2011-12-19T14:21:41,ESC,ABC,undef,undef,I2_084059,undef,CLOSED,ENV,ENV_CONFIG,16.0.107.3,ESC,BUSINESS,sources/BOther/source,RuleRSCrossBorderDctSegment.cpp
SC_062086,2012-02-23T14:27:39,ESC,ABC,undef,CR_031655,undef,undef,CLOSED,ENV,ENV_CONFIG,16.5.36,ESC,BUSINESS,sources/BOther/source,HSPTTrafficFlowValidator.cpp
SC_062086,2012-02-23T14:27:39,ESC,ABC,undef,CR_031655,undef,undef,CLOSED,ENV,ENV_CONFIG,16.5.36,ESC,BUSINESS,sources/BMandatoryValidation/source,VMErrorRestriction.h
SC_062086,2012-02-23T14:27:39,ESC,ABC,undef,CR_031655,undef,undef,CLOSED,ENV,ENV_CONFIG,16.5.36,ESC,BUSINESS,sources/BMandatoryValidation/source,VMErrorRestriction.cpp
SC_062086,2012-02-23T14:27:39,ESC,ABC,undef,CR_031655,undef,undef,CLOSED,ENV,ENV_CONFIG,16.5.36,ESC,BUSINESS,sources/BOther/source,HSPTTrafficFlowValidator.h
SC_058972,2011-06-28T10:14:38,ESC,ABC,undef,undef,I2_082231,undef,CLOSED,ENV,ENV_CONFIG,15.5.148,ESC,BUSINESS,sources/BObject/source,FlowRestriction.cpp
SC_058025,2011-04-13T14:13:41,ESC,ABC,undef,undef,I2_081810,undef,CLOSED,ENV,ENV_CONFIG,15.5.82,ESC,BUSINESS,sources/BOther/source,RuleRSDctOverlapNasOrIr.cpp
SC_058273,2011-05-04T14:25:42,ESC,ABC,undef,undef,I2_081991,undef,CLOSED,ENV,ENV_CONFIG,15.5.105,ESC,BUSINESS,sources/BOther/source,DctLimitValidator.cpp
SC_058273,2011-05-04T14:25:42,ESC,ABC,undef,undef,I2_081991,undef,CLOSED,ENV,ENV_CONFIG,15.5.105,ESC,BUSINESS,sources/BObject/source,FlowRestriction.cpp
SC_060497,2011-11-09T09:39:39,ESC,ABC,undef,undef,I2_083588,undef,CLOSED,ENV,ENV_CONFIG,16.0.81,ESC,BUSINESS,sources/BObject/source,FlowRestriction.cpp
SC_060497,2011-11-09T09:39:39,ESC,ABC,undef,undef,I2_083588,undef,CLOSED,ENV,ENV_CONFIG,15.5.154.45,ESC,BUSINESS,sources/BObject/source,FlowRestriction.cpp
SC_061522,2012-01-24T13:08:26,ESC,ABC,undef,undef,I2_084410,undef,CLOSED,ENV,ENV_CONFIG,16.0.108.1,ESC,BUSINESS,sources/BManager/source,VersionedObjectManager.h
SC_061522,2012-01-24T13:08:26,ESC,ABC,undef,undef,I2_084410,undef,CLOSED,ENV,ENV_CONFIG,16.0.107.23,ESC,BUSINESS,sources/BManager/source,EnRouteManagerImpl.cpp
SC_061522,2012-01-24T13:08:26,ESC,ABC,undef,undef,I2_084410,undef,CLOSED,ENV,ENV_CONFIG,16.5.57,ESC,KERNEL,sources/States/source,ordvec.h
SC_061522,2012-01-24T13:08:26,ESC,ABC,undef,undef,I2_084410,undef,CLOSED,ENV,ENV_CONFIG,16.5.18,ESC,KERNEL,sources/States/source,ordvec.h
SC_061522,2012-01-24T13:08:26,ESC,ABC,undef,undef,I2_084410,undef,CLOSED,ENV,ENV_CONFIG,16.5.18,ESC,BUSINESS,sources/BManager/source,TerminalProcedureManagerImpl.cpp
SC_061522,2012-01-24T13:08:26,ESC,ABC,undef,undef,I2_084410,undef,CLOSED,ENV,ENV_CONFIG,16.5.57,ESC,BUSINESS,sources/BManager/source,VersionedObjectManager.h
SC_061522,2012-01-24T13:08:26,ESC,ABC,undef,undef,I2_084410,undef,CLOSED,ENV,ENV_CONFIG,16.0.108.1,ESC,KERNEL,sources/States/source,ordvec.h
SC_061522,2012-01-24T13:08:26,ESC,ABC,undef,undef,I2_084410,undef,CLOSED,ENV,ENV_CONFIG,16.5.57,ESC,BUSINESS,sources/BManager/source,VersionedObjectManager.cpp
SC_061522,2012-01-24T13:08:26,ESC,ABC,undef,undef,I2_084410,undef,CLOSED,ENV,ENV_CONFIG,16.0.108.1,ESC,BUSINESS,sources/BManager/source,TerminalProcedureManagerImpl.cpp
SC_061522,2012-01-24T13:08:26,ESC,ABC,undef,undef,I2_084410,undef,CLOSED,ENV,ENV_CONFIG,16.5.57,ESC,BUSINESS,sources/BManager/source,EnRouteManagerImpl.cpp
SC_061522,2012-01-24T13:08:26,ESC,ABC,undef,undef,I2_084410,undef,CLOSED,ENV,ENV_CONFIG,16.0.108.1,ESC,BUSINESS,sources/BManager/source,VersionedObjectManager.cpp
