Change Id,Date & Time,System,Originator,Responsible,CR Reference,I2 Reference,Topic,Status,Baseline System,Baseline Subsystem,Baseline Number,Item System,Item Subsystem,Path,File Name
SC_058196,2011-04-28T10:45:13,CUA,CDE,CDE,undef,undef,undef,CLOSED,CUA,CUA_CONFIG,15.5.0.1.53,CUA,STORE,sources/java/nodeploy/src/eurocontrol/cfmu/cua/config,EVITA_PC_Sample.java
SC_058196,2011-04-28T10:45:13,CUA,CDE,CDE,undef,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2,CUA,STORE,sources/java/nodeploy/src/eurocontrol/cfmu/cua/config,DATASET_PC_Sample.java
SC_058196,2011-04-28T10:45:13,CUA,CDE,CDE,undef,undef,undef,CLOSED,CUA,CUA_CONFIG,15.5.1.2,CUA,STORE,sources/java/nodeploy/src/eurocontrol/cfmu/cua/config,EXTERNAL_REPORTS_PC_Sample.java
SC_058196,2011-04-28T10:45:13,CUA,CDE,CDE,undef,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2,CUA,STORE,sources/java/nodeploy/src/eurocontrol/cfmu/cua/config,CSS_PC_Sample.java
SC_058196,2011-04-28T10:45:13,CUA,CDE,CDE,undef,undef,undef,CLOSED,CUA,CUA_CONFIG,15.5.0.37,CUA,STORE,sources/scripts,upgrade_fcr.ksh
SC_058196,2011-04-28T10:45:13,CUA,CDE,CDE,undef,undef,undef,CLOSED,CUA,CUA_CONFIG,15.5.0.37,CUA,STORE,sources/java/nodeploy/src/eurocontrol/cfmu/cua/config,PortalApplicationConfigurationUpgrader.java
SC_058196,2011-04-28T10:45:13,CUA,CDE,CDE,undef,undef,undef,CLOSED,CUA,CUA_CONFIG,15.5.0.37,CUA,STORE,sources/java/nodeploy/src/eurocontrol/cfmu/cua/config,NOP_MONITOR_PC_Sample.java
SC_058196,2011-04-28T10:45:13,CUA,CDE,CDE,undef,undef,undef,CLOSED,CUA,CUA_CONFIG,15.5.0.1.53,CUA,STORE,sources/java/nodeploy/src/eurocontrol/cfmu/cua/config,SampleXumper_p.java
SC_058196,2011-04-28T10:45:13,CUA,CDE,CDE,undef,undef,undef,CLOSED,CUA,CUA_CONFIG,15.5.0.37,CUA,STORE,sources/java/nodeploy/src/eurocontrol/cfmu/cua/config,FCRUpgrader_p.java
SC_058196,2011-04-28T10:45:13,CUA,CDE,CDE,undef,undef,undef,CLOSED,CUA,CUA_CONFIG,15.1.0.1.86,CUA,STORE,sources/java/nodeploy/src/eurocontrol/cfmu/cua/config,FCRUpgrader_p.java
SC_058196,2011-04-28T10:45:13,CUA,CDE,CDE,undef,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2,CUA,STORE,sources/java/nodeploy/src/eurocontrol/cfmu/cua/config,SampleXumper_p.java
SC_058196,2011-04-28T10:45:13,CUA,CDE,CDE,undef,undef,undef,CLOSED,CUA,CUA_CONFIG,15.5.1.2,CUA,STORE,sources/java/nodeploy/src/eurocontrol/cfmu/cua/config,DAILY_PLAN_PC_Sample.java
